Country_Code,Category_Code,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4,6600,A,A,A,A,A,A,A,A,A,I,I
4,6601,I,I,I,I,I,A,A,A,A,I,I
4,6602,I,I,I,I,I,I,I,I,I,I,I
4,6610,I,A,A,A,A,A,I,I,I,I,I
4,6610,E,E,E,E,E,A,E,E,E,E,E
4,6610,E,E,E,E,E,E,E,E,E,E,E
4,6620,I,A,A,A,A,A,A,A,I,I,I
4,6620,E,A,A,A,A,A,E,E,E,E,E
4,6620,E,E,E,E,E,A,A,A,E,E,E
4,6620,E,E,E,E,E,E,E,E,E,E,E
4,6621,A,A,A,A,A,A,I,I,I,I,I
4,6621,E,A,A,A,A,A,E,E,E,E,E
4,6630,A,A,A,A,A,A,I,I,A,I,I
4,6633,I,I,I,I,I,I,I,I,I,I,I
4,6640,A,A,A,A,I,I,A,A,A,I,I
4,6650,I,A,A,A,A,A,A,A,I,I,I
4,6650,E,A,A,A,A,A,E,E,E,E,E
4,6655,A,A,A,A,A,A,A,A,A,I,I
4,6655,E,A,A,A,A,A,E,E,E,E,E
4,6655,E,E,E,E,E,A,A,A,A,E,E
4,6659,A,A,A,A,A,A,A,A,I,I,I
4,6646,I,I,I,A,A,A,A,A,A,I,I
4,6646,E,E,E,E,E,A,A,A,A,E,E
4,6717,I,I,I,A,A,A,A,A,A,I,I
4,6717,E,E,E,A,A,A,A,A,A,E,E
4,6716,I,I,I,A,A,A,A,A,A,I,I
4,6716,E,E,E,A,A,A,A,A,A,E,E
4,6670,I,I,I,I,I,I,I,I,I,I,I
4,6680,I,I,I,I,I,I,I,I,I,I,I
4,6690,X,I,I,I,I,X,I,I,I,I,I
4,6690,E,E,E,E,E,E,E,E,E,E,E
4,6616,A,A,A,X,,,,,,,
4,6611,A,A,A,A,A,A,A,A,A,I,I
4,6611,E,A,A,A,A,A,E,E,E,E,E
4,6671,I,I,,I,I,I,I,I,I,I,I
4,6671,E,E,,E,E,E,E,E,E,E,E
4,6672,I,I,,I,I,I,I,I,I,I,I
4,6714,I,I,I,I,I,I,,,,,
8,6600,A,A,A,A,A,A,A,A,A,A,A
8,6601,A,A,A,A,A,A,A,A,A,A,A
8,6602,I,I,I,I,I,I,I,I,I,A,A
8,6610,A,A,A,A,A,A,A,A,A,A,A
8,6610,A,A,A,A,A,A,A,A,A,A,A
8,6610,E,E,E,E,E,E,E,E,E,E,E
8,6620,A,A,A,A,A,A,A,A,A,A,A
8,6620,A,A,A,A,A,A,A,A,A,A,A
8,6620,A,A,A,A,A,A,A,A,A,A,A
8,6620,E,E,E,E,E,E,E,E,E,E,E
8,6621,A,A,A,A,A,A,A,A,A,A,A
8,6621,A,A,A,A,A,A,A,A,A,A,A
8,6630,A,A,A,A,A,A,A,A,A,A,A
8,6633,A,A,A,A,A,A,A,A,A,A,A
8,6640,A,A,A,A,A,A,A,A,A,A,A
8,6650,A,A,A,A,A,A,A,A,A,A,A
8,6650,A,A,A,A,A,A,A,A,A,A,A
8,6655,A,A,A,A,A,A,A,A,A,A,A
8,6655,A,A,A,A,A,A,A,A,A,A,A
8,6655,A,A,A,A,A,A,A,A,A,A,A
8,6649,,A,A,A,A,A,A,A,A,A,A
8,6646,I,I,I,E,E,E,E,E,E,I,I
8,6646,E,E,E,E,E,E,E,E,E,E,E
8,6717,I,I,I,E,E,E,E,E,E,I,I
8,6717,E,E,E,E,E,E,E,E,E,E,E
8,6716,I,I,I,E,E,E,E,E,E,I,I
8,6716,E,E,E,E,E,E,E,E,E,E,E
8,6670,I,I,I,I,I,I,I,I,I,I,I
8,6680,I,I,I,B,A,A,A,A,A,A,A
8,6773,,,,A,A,A,A,A,A,A,A
8,6690,A,A,A,A,A,A,A,A,A,A,A
8,6690,A,A,A,A,A,A,A,A,A,A,A
8,6616,,,,,,A,A,A,A,A,A
8,6611,A,A,A,A,A,A,A,A,A,A,A
8,6611,A,A,A,A,A,A,A,A,A,A,A
8,6694,I,I,I,A,A,A,A,A,I,I,I
8,6671,A,A,A,,I,I,I,I,I,A,A
8,6671,A,A,A,,E,E,E,E,E,A,A
8,6672,A,A,A,,,,I,I,I,A,A
8,6668,I,I,I,,,,I,A,A,A,
8,6669,I,I,I,,,,I,A,A,A,A
8,6774,A,A,A,A,A,A,A,A,A,A,A
8,6714,I,I,I,E,E,E,,,,,
12,6600,A,A,A,A,A,A,A,A,A,A,A
12,6601,A,A,A,A,A,A,A,I,I,I,I
12,6602,I,I,I,I,I,I,I,I,I,I,I
12,6610,A,A,A,A,A,A,I,A,I,I,I
12,6610,A,A,A,A,A,A,E,E,E,E,E
12,6610,E,E,E,E,E,E,E,E,E,E,E
12,6620,A,A,A,A,A,A,I,A,I,I,I
12,6620,A,A,A,A,A,A,E,A,E,E,E
12,6620,A,A,A,A,A,A,E,E,E,E,E
12,6620,E,E,E,E,E,E,E,E,E,E,E
12,6621,A,A,A,A,A,A,I,A,I,I,I
12,6621,A,A,A,A,A,A,E,A,E,E,E
12,6630,A,A,A,A,A,A,I,A,I,I,I
12,6633,I,I,I,I,I,I,I,I,I,I,I
12,6640,A,A,A,A,A,A,I,A,I,I,I
12,6650,A,A,A,A,A,A,I,A,I,I,I
12,6650,A,A,A,A,A,A,E,A,E,E,E
12,6655,A,A,A,A,A,A,I,A,I,I,I
12,6655,A,A,A,A,A,A,E,A,E,E,E
12,6655,A,A,A,A,A,A,E,E,E,E,E
